chromosome	start	end	strand	C%+G%	Obs/Exp	CG_count	len
chr10	113241851	113242882	-	69.74	0.79	99.0	1031	
chr10	113407645	113408914	-	70.45	0.6	95.0	1269	
chr10	113428664	113429252	-	56.46	0.66	31.0	588	
chr10	113519772	113520376	-	53.31	0.72	31.0	604	
chr10	113623999	113625124	-	56.27	0.63	56.0	1125	
chr10	113661364	113661928	-	55.85	0.64	28.0	564	
chr10	113709980	113712477	-	64.96	0.8	210.0	2497	
chr10	113717861	113718841	-	55.71	1.05	77.0	980	
chr10	113718958	113720130	-	67.15	0.8	106.0	1172	
chr10	113727687	113729185	-	62.88	0.97	141.0	1498	
chr10	113735073	113736448	-	65.45	0.65	95.0	1375	
chr10	113738112	113738640	-	53.79	0.68	26.0	528	
chr10	113744996	113746115	-	64.52	0.74	86.0	1119	
chr10	113748163	113751674	-	63.63	0.79	279.0	3511	
chr10	113785098	113785753	-	52.21	0.68	30.0	655	
chr10	114070851	114073130	-	66.04	0.83	206.0	2279	
chr10	115282834	115283367	-	57.97	0.83	37.0	533	
chr10	115428564	115429331	-	60.89	0.92	65.0	767	
chr10	115429476	115430561	-	65.25	0.75	87.0	1085	
chr10	116534931	116535604	-	64.49	0.65	45.0	673	
chr10	116585673	116587141	-	56.88	0.85	99.0	1468	
chr10	116658835	116659532	-	51.22	0.61	28.0	697	
chr10	116706085	116706617	-	55.45	0.69	28.0	532	
chr10	116879032	116879636	-	52.48	0.72	30.0	604	
chr10	117104026	117105715	-	66.31	0.78	144.0	1689	
chr10	117412911	117413512	-	53.58	0.81	35.0	601	
chr10	117455613	117456127	-	52.33	0.66	23.0	514	
chr10	117659864	117660465	-	53.74	0.81	35.0	601	
chr10	117702602	117703115	-	52.63	0.69	24.0	513	
chr10	117874908	117876293	-	67.15	0.89	139.0	1385	
chr10	117876406	117877061	-	51.91	0.8	35.0	655	
chr10	118037917	118039341	-	72.75	0.9	168.0	1424	
chr10	118187235	118187864	-	50.56	0.68	27.0	629	
chr10	118261743	118262404	-	57.34	0.76	41.0	661	
chr10	118262528	118264662	-	66.17	0.81	188.0	2134	
chr10	118290867	118291547	-	65.74	0.77	56.0	680	
chr10	118674773	118675803	-	62.04	0.75	74.0	1030	
chr10	118970852	118973478	-	66.6	0.84	244.0	2626	
chr10	119055153	119056136	-	58.39	0.68	56.0	983	
chr10	119632016	119632897	-	60.95	0.66	54.0	881	
chr10	119772419	119774101	-	63.02	0.68	114.0	1682	
chr10	120066956	120067562	-	53.14	0.74	31.0	606	
chr10	120121062	120122428	-	75.77	0.92	178.0	1366	
chr10	120205073	120205596	-	55.64	0.66	26.0	523	
chr10	120278592	120280480	-	53.97	0.71	97.0	1888	
chr10	120323377	120325021	-	70.68	0.81	161.0	1644	
chr10	120393869	120394527	-	55.02	0.78	39.0	658	
chr10	120394667	120395956	-	62.68	0.88	112.0	1289	
chr10	120403680	120404362	-	69.06	0.79	64.0	682	
chr10	120466541	120467112	-	57.09	0.72	33.0	571	
chr10	120496123	120497498	-	53.31	0.74	72.0	1375	
chr10	120501438	120502038	-	53.67	0.65	28.0	600	
chr10	120531755	120532309	-	57.22	0.73	33.0	554	
chr10	120532564	120533696	-	60.07	0.72	74.0	1132	
chr10	120538270	120539168	-	63.25	0.78	70.0	898	
chr10	120613024	120614804	-	67.25	0.87	175.0	1780	
chr10	120630122	120630661	-	52.5	0.66	24.0	539	
chr10	120653104	120655114	-	62.54	0.8	154.0	2010	
chr10	120682525	120683124	-	57.1	0.62	30.0	599	
chr10	120718054	120718745	-	51.66	0.72	33.0	691	
chr10	120888007	120888996	-	79.98	0.99	156.0	989	
chr10	121318465	121319120	-	55.88	0.6	29.0	655	
chr10	121533873	121534515	-	54.52	0.7	33.0	642	
chr10	121600492	121601395	-	69.77	0.94	101.0	903	
chr10	121601500	121602105	-	53.06	0.71	30.0	605	
chr10	121835045	121836333	-	68.25	0.79	119.0	1288	
chr10	121904185	121905326	-	56.09	0.62	55.0	1141	
chr10	121934874	121935455	-	54.04	0.71	30.0	581	
chr10	121954116	121954620	-	53.37	0.62	22.0	504	
chr10	121963353	121964754	-	78.02	0.94	200.0	1401	
chr10	122017924	122020371	-	50.51	0.91	142.0	2447	
chr10	122129378	122130059	-	56.53	0.74	40.0	681	
chr10	122143496	122145669	-	67.6	0.98	244.0	2173	
chr10	122169577	122170086	-	56.97	0.65	27.0	509	
chr10	122178486	122179125	-	53.21	0.74	33.0	639	
chr10	122189795	122190692	-	57.08	0.7	51.0	897	
chr10	122191460	122193505	-	62.35	0.76	150.0	2045	
chr10	122257223	122257953	-	53.29	0.6	31.0	730	
chr10	122329536	122330143	-	53.54	0.66	28.0	607	
chr10	122330506	122331536	-	58.45	0.84	72.0	1030	
chr10	122333774	122334363	-	59.42	0.81	41.0	589	
chr10	122391855	122393003	-	65.42	0.71	86.0	1148	
chr10	122490724	122491759	-	71.21	0.8	104.0	1035	
chr10	122593764	122594399	-	59.84	0.61	34.0	635	
chr10	122885576	122886134	-	51.25	0.6	22.0	558	
chr10	123003438	123003983	-	56.15	0.68	29.0	545	
chr10	123129715	123130222	-	55.62	0.62	24.0	507	
chr10	123142016	123144326	-	69.74	0.85	237.0	2310	
chr10	123220581	123221300	-	52.16	0.63	31.0	719	
chr10	123224761	123225685	-	52.92	0.68	44.0	924	
chr10	123252746	123253316	-	55.61	0.67	29.0	570	
chr10	123295959	123297493	-	52.93	0.82	88.0	1534	
chr10	123331014	123331579	-	55.04	0.61	26.0	565	
chr10	123334801	123335458	-	50.84	0.67	28.0	657	
chr10	123362310	123364181	-	60.98	0.9	155.0	1871	
chr10	123373138	123373722	-	57.71	0.67	32.0	584	
chr10	123423071	123425001	-	58.86	0.71	118.0	1930	
chr10	123437687	123438320	-	54.03	0.68	31.0	633	
chr10	123449259	123450542	-	65.94	0.72	99.0	1283	
chr10	123618142	123618665	-	53.15	0.65	24.0	523	
chr10	123622116	123623477	-	69.88	0.65	108.0	1361	
chr10	123668730	123669930	-	69.08	0.87	123.0	1200	
chr10	123749271	123750775	-	67.95	0.77	134.0	1504	
chr10	123755301	123755802	-	60.08	0.8	36.0	501	
chr10	123880721	123882141	-	67.61	0.99	159.0	1420	
chr10	124028964	124029740	-	59.02	0.74	50.0	776	
chr10	124147826	124149289	-	61.11	0.69	94.0	1463	
chr10	124326768	124327993	-	60.73	0.67	76.0	1225	
chr10	124448516	124449083	-	51.5	0.65	22.0	567	
chr10	124473869	124475499	-	70.74	1.04	208.0	1630	
chr10	124841435	124841974	-	56.96	0.72	31.0	539	
chr10	124871584	124872158	-	54.18	0.63	26.0	574	
chr10	125226024	125226590	-	53.18	0.94	36.0	566	
chr10	126084450	126085775	-	61.58	0.66	83.0	1325	
chr10	126218687	126219785	-	71.49	0.61	85.0	1098	
chr10	126308201	126308791	-	53.39	0.68	28.0	590	
chr10	126309003	126309606	-	71.64	0.62	48.0	603	
chr10	126623379	126624376	-	68.0	0.61	70.0	997	
chr10	127417203	127417812	-	50.08	0.66	25.0	609	
chr10	127436382	127437259	-	69.67	0.83	88.0	877	
chr10	127437902	127438789	-	58.06	0.91	68.0	887	
chr10	127438916	127439763	-	59.98	0.83	63.0	847	
chr10	127439887	127440490	-	50.91	0.95	37.0	603	
chr10	127440605	127443404	-	67.24	0.8	250.0	2799	
chr10	127456335	127456919	-	62.84	0.73	42.0	584	
chr10	127457254	127459033	-	63.63	0.66	119.0	1779	
chr10	127576977	127577807	-	56.14	0.61	40.0	830	
chr10	127673254	127674737	-	60.28	0.81	108.0	1483	
chr10	127703899	127705282	-	64.35	0.68	96.0	1383	
chr10	127769534	127770041	-	61.34	0.64	25.0	507	
chr10	127824568	127826325	-	68.87	0.63	120.0	1757	
chr10	127912539	127913090	-	60.62	0.66	33.0	551	
chr10	127966402	127966930	-	58.33	0.62	28.0	528	
chr10	127972327	127973057	-	53.84	0.61	32.0	730	
chr10	127991523	127993029	-	54.71	0.6	68.0	1506	
chr10	128079409	128080564	-	67.27	0.7	91.0	1155	
chr10	128080684	128085619	-	60.57	0.8	353.0	4935	
chr10	128912106	128912894	-	74.87	0.82	90.0	788	
chr10	129161791	129162498	-	56.72	0.8	45.0	707	
chr10	129281691	129282403	-	50.14	0.81	36.0	712	
chr10	129288291	129288858	-	70.55	0.77	54.0	567	
chr10	129288993	129292173	-	67.04	0.81	287.0	3180	
chr10	129328418	129329338	-	71.41	0.83	96.0	920	
chr10	129341853	129342438	-	51.62	0.65	25.0	585	
chr10	129346085	129348291	-	67.23	0.72	179.0	2206	
chr10	129348422	129349053	-	54.52	0.74	34.0	631	
chr10	129366692	129367258	-	54.95	0.77	33.0	566	
chr10	129402727	129403999	-	67.92	0.87	128.0	1272	
chr10	129514614	129516139	-	71.41	0.84	160.0	1525	
chr10	129601756	129604206	-	68.61	0.84	241.0	2450	
chr10	129619821	129620359	-	50.74	0.61	21.0	538	
chr10	129652113	129652724	-	55.48	0.7	33.0	611	
chr10	129678647	129680120	-	67.82	0.9	152.0	1473	
chr10	129799713	129800319	-	66.5	0.66	44.0	606	
chr10	129806669	129808365	-	59.43	0.94	140.0	1696	
chr10	129825862	129826953	-	68.1	0.97	122.0	1091	
chr10	129850737	129851254	-	60.54	0.68	32.0	517	
chr10	129867626	129868367	-	58.03	0.63	39.0	741	
chr10	129914275	129914880	-	54.88	0.6	27.0	605	
chr10	129915026	129915845	-	65.57	1.17	50.0	819	
chr10	129957922	129958718	-	56.41	0.64	40.0	796	
chr10	129966651	129968120	-	66.1	0.6	96.0	1469	
chr10	129980566	129981452	-	59.37	0.64	49.0	886	
chr10	129993233	129994123	-	67.08	0.69	69.0	890	
chr10	130079474	130080394	-	66.74	0.66	64.0	920	
chr10	130665523	130667174	-	66.2	0.64	115.0	1651	
chr10	130961905	130962612	-	51.2	0.74	33.0	707	
chr10	131303876	131304463	-	55.88	0.7	32.0	587	
chr10	131498999	131499527	-	55.49	0.62	25.0	528	
chr10	131706238	131707895	-	67.35	0.89	165.0	1657	
chr10	131710182	131710991	-	55.13	0.62	38.0	809	
chr10	131729217	131729846	-	50.56	0.71	28.0	629	
chr10	131935674	131936437	-	51.64	0.93	47.0	763	
chr10	132033563	132036274	-	54.26	0.76	145.0	2711	
chr10	132092885	132093431	-	59.71	0.97	45.0	546	
chr10	132148270	132148776	-	53.36	0.73	26.0	506	
chr10	132159869	132160711	-	51.78	0.73	40.0	842	
chr10	132173235	132174734	-	63.91	0.68	103.0	1499	
chr10	132252709	132253315	-	58.42	0.68	35.0	606	
chr10	132257012	132257946	-	54.07	0.61	40.0	934	
chr10	132294567	132295124	-	55.3	0.61	26.0	557	
chr10	132319341	132320450	-	65.37	0.83	98.0	1109	
chr10	132353527	132354657	-	56.28	0.63	56.0	1130	
chr10	132372432	132373230	-	58.27	0.65	44.0	798	
chr10	132375514	132376074	-	52.5	0.6	23.0	560	
chr10	132378972	132379480	-	61.42	0.69	33.0	508	
chr10	132423061	132426419	-	69.95	0.82	337.0	3358	
chr10	132542073	132542850	-	55.34	0.61	36.0	777	
chr10	132555733	132556864	-	56.06	0.64	57.0	1131	
chr10	132602004	132603176	-	56.91	0.6	57.0	1172	
chr10	132626392	132626977	-	63.42	0.63	36.0	585	
chr10	132655363	132655936	-	57.42	0.71	33.0	573	
chr10	132685576	132686178	-	62.62	0.68	40.0	602	
chr10	132719158	132719745	-	59.45	0.73	38.0	587	
chr10	132914058	132914663	-	59.17	0.76	40.0	605	
chr10	132969348	132971133	-	63.19	0.95	122.0	1785	
chr10	132990587	132991332	-	58.93	1.23	71.0	745	
chr10	133163245	133163838	-	51.77	0.61	24.0	593	
chr10	133284677	133285253	-	54.34	0.61	26.0	576	
chr10	133527577	133528153	-	56.94	0.74	33.0	576	
chr10	133538944	133540295	-	60.4	0.67	82.0	1351	
chr10	133644463	133645126	-	55.35	0.65	33.0	663	
chr10	133710647	133711156	-	51.08	0.66	22.0	509	
chr10	133754563	133756321	-	61.32	0.67	110.0	1758	
chr10	133790597	133793366	-	60.6	0.82	181.0	2769	
chr10	133966396	133967068	-	53.72	0.71	31.0	672	
chr10	134116400	134116971	-	53.59	0.62	22.0	571	
chr10	134128404	134130388	-	68.45	0.8	184.0	1984	
chr10	134151487	134152509	-	60.08	0.71	58.0	1022	
chr10	134164333	134165845	-	68.58	0.63	95.0	1512	
chr10	134190008	134190519	-	59.1	0.65	29.0	511	
chr10	134298400	134299059	-	56.6	0.61	31.0	659	
chr10	134315257	134315833	-	61.46	0.65	35.0	576	
chr10	134325065	134325752	-	57.06	0.63	35.0	687	
chr10	134328794	134329813	-	61.33	0.67	64.0	1019	
chr10	134359516	134360086	-	56.84	0.63	29.0	570	
chr10	134382624	134383227	-	55.72	0.73	34.0	603	
chr10	134396376	134396907	-	54.05	0.78	30.0	531	
chr10	134431178	134432976	-	64.29	0.8	147.0	1798	
chr10	134438811	134440782	-	61.19	0.94	171.0	1971	
chr10	134498922	134499657	-	52.65	0.63	32.0	735	
chr10	134499836	134501167	-	64.01	0.74	100.0	1331	
chr10	134512118	134513256	-	56.5	0.81	71.0	1138	
chr10	134523281	134523784	-	64.02	0.6	31.0	503	
chr10	134539427	134539997	-	52.98	0.62	24.0	570	
chr10	134555756	134558043	-	75.86	0.8	246.0	2287	
chr10	134673540	134674189	-	55.62	0.68	34.0	649	
chr10	134694438	134695167	-	55.01	1.07	57.0	729	
chr10	134761242	134762762	-	59.61	0.68	88.0	1520	
chr10	134798237	134800365	-	71.1	0.91	243.0	2128	
chr10	134808716	134810384	-	67.75	0.67	94.0	1668	
chr10	134816331	134817771	-	61.88	0.99	137.0	1440	
chr10	134821932	134822872	-	59.89	0.65	55.0	940	
chr10	134841192	134841735	-	54.14	0.67	25.0	543	
chr10	134847791	134849001	-	63.14	0.75	91.0	1210	
chr10	134849142	134850000	-	61.77	0.61	50.0	858	
chr10	134851693	134852439	-	54.56	0.72	39.0	746	
chr10	134855695	134856744	-	59.87	0.81	76.0	1049	
chr10	134882200	134882977	-	59.46	0.62	42.0	777	
chr10	134903731	134904439	-	65.68	0.94	58.0	708	
chr10	134917396	134917980	-	57.88	0.65	31.0	584	
chr10	134957418	134958007	-	56.54	0.68	31.0	589	
chr10	134981061	134981857	-	54.52	0.64	38.0	796	
chr10	135003163	135004252	-	57.39	0.62	55.0	1089	
chr10	135068201	135068997	-	57.41	0.81	53.0	796	
chr10	135072703	135073240	-	51.4	0.71	25.0	537	
chr10	135089389	135089906	-	57.45	0.63	27.0	517	
chr10	135095572	135096106	-	56.93	0.66	27.0	534	
chr10	135098486	135099057	-	54.99	0.63	27.0	571	
chr10	135112337	135112919	-	57.04	0.72	34.0	582	
chr10	135120525	135121052	-	70.02	0.67	43.0	527	
chr10	135121211	135121746	-	52.34	0.85	31.0	535	
chr10	135125108	135125626	-	59.07	0.74	33.0	518	
chr10	135139163	135139684	-	58.16	0.71	31.0	521	
chr10	135140740	135143366	-	58.64	1.27	226.0	2626	
chr10	135143957	135144514	-	55.3	0.66	28.0	557	
chr10	135165287	135167595	-	66.33	0.98	235.0	2308	
chr10	135207094	135207838	-	51.88	0.71	35.0	744	
chr10	135352177	135354561	-	69.42	0.97	278.0	2384	
chr10	135411738	135413063	-	58.72	0.81	93.0	1325	
chr10	135414195	135415645	-	57.93	0.77	94.0	1450	
chr10	135439298	135440357	-	66.01	0.65	75.0	1059	
chr11	189254	190324	+	65.61	0.73	84.0	1070	
chr11	201993	202667	+	50.59	0.61	26.0	674	
chr11	206881	208090	+	67.74	0.86	119.0	1209	
chr11	208215	209934	+	63.99	0.63	111.0	1719	
chr11	234437	235173	+	55.3	0.75	42.0	736	
chr11	235846	237460	+	64.06	0.83	137.0	1614	
chr11	278912	281931	+	69.1	0.81	289.0	3019	
chr11	287339	289517	+	69.51	0.69	179.0	2178	
chr11	303126	303669	+	52.49	0.71	25.0	543	
chr11	303952	305081	+	60.05	0.84	85.0	1129	
chr11	310542	311800	+	71.14	0.68	108.0	1258	
chr11	315740	317048	+	64.68	0.84	112.0	1308	
chr11	317982	319239	+	71.2	0.68	109.0	1257	
chr11	330786	331353	+	63.32	0.61	34.0	567	
chr11	351475	352510	+	52.95	0.66	48.0	1035	
chr11	355470	356487	+	68.83	0.69	83.0	1017	
chr11	357882	358909	+	51.12	0.66	44.0	1027	
chr11	366859	367653	+	58.56	0.66	44.0	794	
chr11	368847	370675	+	76.75	0.81	218.0	1828	
chr11	375424	377523	+	71.27	0.72	191.0	2099	
chr11	379125	380913	+	68.4	0.73	153.0	1788	
chr11	396655	397488	+	71.19	0.6	63.0	833	
chr11	397863	399183	+	64.32	0.99	91.0	1320	
chr11	399887	403792	+	77.95	0.81	420.0	3905	
chr11	406188	407981	+	71.83	0.68	156.0	1793	
chr11	416251	417651	+	73.21	0.78	145.0	1400	
chr11	420097	421748	+	67.96	0.63	121.0	1651	
chr11	430815	431776	+	75.13	0.8	97.0	961	
chr11	447345	448960	+	59.32	0.63	90.0	1615	
chr11	449605	451226	+	68.17	0.91	171.0	1621	
chr11	458235	458781	+	56.59	0.65	28.0	546	
chr11	464014	464686	+	59.23	0.6	35.0	672	
chr11	477450	478077	+	59.97	0.63	35.0	627	
chr11	484420	486112	+	63.3	1.14	186.0	1692	
chr11	486564	487157	+	58.68	0.65	33.0	593	
chr11	497005	498032	+	58.52	0.78	57.0	1027	
chr11	504058	505046	+	64.98	0.72	74.0	988	
chr11	505678	508010	+	66.12	0.88	224.0	2332	
chr11	510984	511518	+	51.69	0.83	29.0	534	
chr11	513092	513645	+	52.98	0.72	28.0	553	
chr11	518213	519079	+	65.47	0.89	83.0	866	
chr11	519179	521198	+	52.45	0.84	116.0	2019	
chr11	524050	524581	+	50.28	0.66	22.0	531	
chr11	528560	529192	+	64.24	0.61	40.0	632	
chr11	534470	537739	+	70.97	0.85	349.0	3269	
chr11	554507	556683	+	72.98	0.78	224.0	2176	
chr11	560135	561921	+	72.06	0.75	170.0	1786	
chr11	567920	569869	+	73.17	0.75	195.0	1949	
chr11	570469	571100	+	55.47	0.69	33.0	631	
chr11	575042	577094	+	72.76	0.85	231.0	2052	
chr11	580588	581105	+	55.51	0.6	24.0	517	
chr11	582548	583505	+	56.53	0.63	48.0	957	
chr11	614761	616519	+	66.04	0.76	145.0	1758	
chr11	626033	628850	+	64.89	0.68	202.0	2817	
chr11	636409	637912	+	71.92	0.91	176.0	1503	
chr11	638213	638835	+	56.75	0.6	30.0	622	
chr11	638939	640682	+	71.08	0.8	176.0	1743	
chr11	674459	675111	+	53.99	0.63	30.0	652	
chr11	692574	693090	+	58.91	0.65	29.0	516	
chr11	694361	696376	+	71.36	0.97	247.0	2015	
chr11	705660	706787	+	74.89	0.7	110.0	1127	
chr11	725425	726871	+	72.2	0.65	121.0	1446	
chr11	733013	733580	+	58.02	0.61	29.0	567	
chr11	734675	736689	+	68.02	0.81	184.0	2014	
chr11	744563	745254	+	56.01	0.77	41.0	691	
chr11	745839	746410	+	56.04	0.65	29.0	571	
chr11	746672	748326	+	70.13	0.8	163.0	1654	
chr11	775736	778504	+	65.5	0.73	215.0	2768	
chr11	783579	784404	+	55.52	0.64	40.0	825	
chr11	789648	790382	+	70.44	0.68	62.0	734	
chr11	797143	798879	+	68.38	0.7	142.0	1736	
chr11	804658	805678	+	71.57	0.78	101.0	1020	
chr11	806643	807757	+	55.75	0.6	52.0	1114	
chr11	808827	811000	+	63.46	0.82	179.0	2173	
chr11	814386	815193	+	52.79	0.67	37.0	807	
chr11	818892	820620	+	71.3	0.74	161.0	1728	
chr11	823480	825096	+	70.11	0.61	122.0	1616	
chr11	826530	827985	+	65.5	0.66	102.0	1455	
chr11	829285	831730	+	69.2	0.63	185.0	2445	
chr11	831870	833885	+	71.51	0.6	155.0	2015	
chr11	841140	844166	+	67.22	0.69	235.0	3026	
chr11	849338	851050	+	73.48	0.87	199.0	1712	
chr11	858514	859724	+	69.42	0.78	83.0	1210	
chr11	906341	906986	+	54.42	0.65	31.0	645	
chr11	909932	911818	+	68.66	0.79	173.0	1886	
chr11	925047	926592	+	73.92	0.85	178.0	1545	
chr11	943633	944234	+	60.4	0.88	41.0	601	
chr11	961656	962161	+	58.61	0.62	25.0	505	
chr11	975118	976248	+	62.48	0.71	76.0	1130	
chr11	980024	980653	+	71.54	0.69	53.0	629	
chr11	987344	988773	+	60.74	0.6	78.0	1429	
chr11	993209	994244	+	64.44	0.63	68.0	1035	
chr11	1010480	1011077	+	58.12	0.68	34.0	597	
chr11	1155477	1156116	+	64.95	0.69	46.0	639	
chr11	1253539	1254585	+	67.59	0.6	71.0	1046	
chr11	1262084	1262717	+	65.72	0.6	41.0	633	
chr11	1308212	1309085	+	68.04	0.92	81.0	873	
chr11	1311352	1311938	+	59.22	0.64	33.0	586	
chr11	1312455	1313130	+	70.96	0.65	49.0	675	
chr11	1314714	1317221	+	59.47	0.64	141.0	2507	
chr11	1321803	1322335	+	57.71	0.62	27.0	532	
chr11	1330066	1331859	+	69.77	0.8	173.0	1793	
chr11	1357145	1359119	+	71.43	0.77	195.0	1974	
chr11	1409688	1412823	+	72.92	0.82	340.0	3135	
chr11	1430940	1432248	+	64.6	0.7	91.0	1308	
chr11	1455099	1455638	+	59.18	0.62	29.0	539	
chr11	1466305	1467234	+	70.61	0.63	73.0	929	
chr11	1481755	1483200	+	66.3	0.66	104.0	1445	
chr11	1567204	1569618	+	70.22	0.62	185.0	2414	
chr11	1577407	1579117	+	69.94	0.81	169.0	1710	
chr11	1592427	1594686	+	76.98	0.85	285.0	2259	
chr11	1595471	1596215	+	69.35	0.76	67.0	744	
chr11	1602282	1603280	+	57.01	0.63	47.0	998	
chr11	1668844	1669401	+	53.86	0.81	32.0	557	
chr11	1673191	1674225	+	58.22	0.66	58.0	1034	
chr11	1680443	1681002	+	54.2	0.64	26.0	559	
chr11	1746303	1746899	+	56.21	0.67	31.0	596	
chr11	1768505	1770818	+	70.21	0.67	186.0	2313	
chr11	1774589	1775097	+	68.5	0.62	37.0	508	
chr11	1784349	1786169	+	66.54	0.68	137.0	1820	
chr11	1824540	1825605	+	64.41	0.66	68.0	1065	
chr11	1945525	1946026	+	59.48	0.63	28.0	501	
chr11	1947532	1948054	+	63.79	0.74	37.0	522	
chr11	1967817	1969329	+	73.81	0.71	140.0	1512	
chr11	1977505	1978428	+	67.61	0.63	64.0	923	
chr11	2016381	2017118	+	59.29	0.6	37.0	737	
chr11	2026526	2027037	+	63.99	0.87	44.0	511	
chr11	2158555	2162618	+	71.2	0.78	400.0	4063	
chr11	2164915	2165967	+	61.79	0.91	91.0	1052	
chr11	2210371	2211046	+	56.15	0.74	39.0	675	
chr11	2278703	2279221	+	64.86	0.62	34.0	518	
chr11	2287708	2288217	+	55.99	0.63	25.0	509	
chr11	2289843	2292933	+	70.74	0.89	345.0	3090	
chr11	2295600	2296178	+	51.9	0.64	25.0	578	
chr11	2312275	2313920	+	55.87	0.77	81.0	1645	
chr11	2398224	2400440	+	70.76	0.66	184.0	2216	
chr11	2420968	2422848	+	65.85	0.72	146.0	1880	
chr11	2465074	2467428	+	71.2	0.67	201.0	2354	
chr11	2490926	2491470	+	55.51	0.65	27.0	544	
chr11	2542321	2542876	+	54.05	0.64	25.0	555	
chr11	2720202	2722121	+	69.46	0.79	183.0	1919	
chr11	2770669	2771231	+	53.38	0.7	28.0	562	
chr11	2812416	2813466	+	69.33	0.71	90.0	1050	
chr11	2883314	2884549	+	71.98	0.73	117.0	1235	
chr11	2890063	2891515	+	67.49	0.85	141.0	1452	
chr11	2904951	2907830	+	74.57	0.93	371.0	2879	
chr11	2949789	2951309	+	72.96	0.89	179.0	1520	
chr11	3012763	3014367	+	68.89	0.86	160.0	1604	
chr11	3077812	3079105	+	67.21	0.65	95.0	1293	
chr11	3177384	3178066	+	53.81	0.63	31.0	682	
chr11	3181553	3182231	+	63.42	0.71	47.0	678	
chr11	3185919	3186931	+	75.59	0.76	109.0	1012	
chr11	3239117	3240070	+	69.15	0.65	73.0	953	
chr11	3253769	3254688	+	59.74	0.63	52.0	919	
chr11	3276752	3277463	+	52.88	0.77	38.0	711	
chr11	3322555	3323279	+	52.07	0.78	38.0	724	
chr11	3356720	3357232	+	55.08	0.61	20.0	512	
chr11	3399935	3400653	+	65.6	0.63	49.0	718	
chr11	3408086	3408847	+	65.83	0.69	56.0	761	
chr11	3443005	3444979	+	67.43	0.71	154.0	1974	
chr11	3497914	3498462	+	50.55	0.63	22.0	548	
chr11	3601469	3602863	+	69.44	0.68	113.0	1394	
chr11	3688336	3689170	+	70.74	0.88	92.0	834	
chr11	3764271	3764833	+	52.85	0.61	24.0	562	
chr11	3818096	3819308	+	65.26	0.87	112.0	1212	
chr11	3819522	3820199	+	54.51	0.74	37.0	677	
chr11	3828049	3828831	+	53.58	0.7	39.0	782	
chr11	3829219	3830122	+	63.12	0.64	57.0	903	
chr11	3848812	3849371	+	61.18	0.65	34.0	559	
chr11	3861512	3863099	+	69.69	0.61	117.0	1587	
chr11	3876154	3877609	+	70.03	0.72	129.0	1455	
chr11	4115507	4116857	+	58.96	0.78	92.0	1350	
chr11	4208331	4209272	+	68.12	0.79	85.0	941	
chr11	4258473	4259360	+	65.73	0.6	57.0	887	
chr11	4303871	4304797	+	66.63	0.63	65.0	926	
chr11	4355615	4356542	+	66.67	0.63	65.0	927	
chr11	4628996	4629611	+	65.37	0.65	42.0	615	
chr11	5636854	5637540	+	54.08	0.76	38.0	686	
chr11	5829667	5830275	+	53.78	0.61	26.0	608	
chr11	5949334	5950171	+	54.6	0.61	35.0	837	
chr11	5952366	5952926	+	52.68	0.61	19.0	560	
chr11	5958862	5960101	+	55.53	0.72	67.0	1239	
chr11	5981614	5982524	+	68.57	0.6	64.0	910	
chr11	6255707	6257165	+	59.33	0.8	102.0	1458	
chr11	6260859	6261800	+	58.45	0.61	48.0	941	
chr11	6291849	6292726	+	62.14	0.7	59.0	877	
chr11	6340428	6342447	+	64.09	0.63	130.0	2019	
chr11	6411265	6412139	+	68.42	0.7	72.0	874	
chr11	6439783	6440970	+	69.33	0.82	117.0	1187	
chr11	6477514	6478233	+	65.65	0.79	61.0	719	
chr11	6494706	6495656	+	69.26	0.8	89.0	950	
chr11	6502386	6503549	+	61.48	0.72	79.0	1163	
chr11	6591919	6593131	+	63.61	0.71	86.0	1212	
chr11	6624409	6625365	+	64.75	0.81	80.0	956	
chr11	6632799	6634208	+	63.73	0.83	118.0	1409	
chr11	6650712	6652255	+	67.21	0.9	157.0	1543	
chr11	6676366	6677458	+	74.73	0.99	133.0	1092	
chr11	6703969	6705055	+	59.48	0.82	79.0	1086	
chr11	6947502	6948305	+	61.39	0.85	63.0	803	
chr11	7041027	7042082	+	60.19	0.76	72.0	1055	
chr11	7110038	7111518	+	68.31	0.96	166.0	1480	
chr11	7272521	7274236	+	67.81	0.76	149.0	1715	
chr11	7534219	7535985	+	64.55	0.68	124.0	1766	
chr11	7694484	7695686	+	67.97	0.81	112.0	1202	
chr11	8008433	8009252	+	58.85	0.85	58.0	819	
chr11	8040153	8041631	+	70.7	0.8	145.0	1478	
chr11	8075078	8075650	+	57.87	0.81	39.0	572	
chr11	8102214	8103284	+	72.62	0.83	117.0	1070	
chr11	8189795	8190975	+	56.02	0.88	80.0	1180	
chr11	8284103	8285033	+	73.01	0.94	115.0	930	
chr11	8289418	8290323	+	75.03	0.92	117.0	905	
chr11	8336708	8337710	+	51.9	0.62	41.0	1002	
chr11	8405852	8406398	+	52.01	0.6	22.0	546	
chr11	8544338	8545456	+	67.35	0.6	76.0	1118	
chr11	8615304	8615947	+	68.58	0.82	62.0	643	
chr11	8703784	8704881	+	63.9	0.76	85.0	1097	
chr11	8705088	8705622	+	55.62	0.73	30.0	534	
chr11	8710197	8710867	+	58.36	0.89	51.0	670	
